Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Reason,Balance,Risk_Dollars,R_Multiple,Streak_Len_Exit,Risk_At_Entry,Entry_Trend_Regime,Entry_Vol_Regime,Entry_Hour,Entry_DayOfWeek,Entry_Prob_Up,Entry_Prob_Down,Entry_Prob_Margin,Entry_Prob_Entropy,Entry_Mom_Rank,Entry_Vol_Rank,Entry_Vol_Intensity,Entry_Asset_DD
CL=F,LONG,2024-07-30 16:00:00+00:00,2024-07-31 08:00:00+00:00,75.33000183105469,76.78929192679269,216.35331904166094,315.6140789980182,TP,105557.48091284253,157.86112782876953,1.9993147352929204,1,315.7222556575399,BEAR,HIGH,16,1,0.45180342,0.39969552,0.0,0.0,0.06666666666666667,0.8666666666666667,1.3468742700707732,-0.10118119525788649
AUDJPY=X,LONG,2024-07-31 08:00:00+00:00,2024-08-01 15:00:00+00:00,97.98200225830078,97.81500244140625,171.5194373890849,-28.72947435652474,TimeExit,105528.751438486,158.3366137223526,-0.1814455524917479,-1,316.67322744470385,BEAR,HIGH,8,2,0.4405726,0.3396382,0.0,0.0,0.03333333333333333,0.8666666666666667,2.9455264478897667,-0.07322837611752109
NG=F,SHORT,2024-08-01 15:00:00+00:00,2024-08-01 18:00:00+00:00,2.0380001068115234,1.9692143712724959,9205.004761924494,628.5705208082653,TP,106157.32195929426,316.58651159461584,1.9854621021035166,1,316.5865115946141,RANGE,NORMAL,15,3,0.47596133,0.4257691,0.0,0.0,0.7333333333333333,0.9,-0.3923310011713686,-0.09982325010867843
NG=F,SHORT,2024-08-01 18:00:00+00:00,2024-08-02 12:00:00+00:00,1.975000023841858,2.0175357460975647,7483.733333432752,-322.0678691733866,SL,105835.25409012087,318.32600250667025,-1.011754825673212,-1,318.32600250667025,BEAR,NORMAL,18,3,0.4310747,0.4730998,0.0,0.0,0.13333333333333333,1.0,-0.1911107397781602,-0.12765014262991703
RTY=F,SHORT,2024-08-02 12:00:00+00:00,2024-08-02 13:00:00+00:00,2117.89990234375,2140.6463884626114,6.996517049944696,-159.1496762154692,SL,105676.1044139054,159.14617795694423,-1.0000219814171467,-2,318.2923559138912,BEAR,HIGH,12,4,0.4348224,0.5034283,0.0,0.0,0.03333333333333333,0.9,1.2787174371765788,-0.08573282868821497
NG=F,SHORT,2024-08-02 13:00:00+00:00,2024-08-02 16:00:00+00:00,2.0139999389648438,1.9608571018491472,11944.011551244375,628.7666546001559,TP,106304.87106850556,317.36933018788636,1.9811827886075781,1,317.3693301878887,BEAR,NORMAL,13,4,0.392371,0.5202644,0.0,0.0,0.13333333333333333,1.0,-0.29776125692279526,-0.11042403124547173
NG=F,SHORT,2024-08-02 16:00:00+00:00,2024-08-02 17:00:00+00:00,1.9299999475479126,1.9653570822307043,9051.587655965928,-324.5639976730648,SL,105980.3070708325,320.03820384508185,-1.0141414174108219,-1,320.038203845081,BEAR,NORMAL,16,4,0.4609614,0.45216578,0.0,0.0,0.03333333333333333,0.9333333333333333,-0.19465546848389906,-0.147526501952842
NG=F,SHORT,2024-08-02 17:00:00+00:00,2024-08-04 23:00:00+00:00,1.972000002861023,1.937999963760376,7604.853138906091,254.7628775080319,TimeExit,106235.06994834053,317.77411165885155,0.801710611912698,1,317.7741116588506,BEAR,NORMAL,17,4,0.4648152,0.45516133,0.0,0.0,0.13333333333333333,1.0,0.030654078074845263,-0.12897524027201623
RTY=F,LONG,2024-08-04 23:00:00+00:00,2024-08-05 05:00:00+00:00,2081.699951171875,2047.0498831612724,4.599076357183553,-159.36060810054306,SL,106075.70934023999,159.35830856236447,-1.000014429986107,-1,318.7166171247299,BEAR,HIGH,23,6,0.4801033,0.4162522,0.0,0.0,0.1,0.9,1.9873545056125868,-0.10135983113668245
NQ=F,SHORT,2024-08-05 05:00:00+00:00,2024-08-05 07:00:00+00:00,17554.25,17822.053571428572,0.5936598183956537,-158.984516409903,SL,105916.72482383008,158.9842195799938,-1.0000018670400745,-2,317.9684391599864,BEAR,HIGH,5,0,0.42056125,0.44493762,0.0,0.0,0.13333333333333333,0.8666666666666667,2.5963473619674575,-0.12377707896575818
NZDJPY=X,SHORT,2024-08-05 07:00:00+00:00,2024-08-05 22:00:00+00:00,85.01599884033203,86.08399908883231,148.73444169795764,-158.9227879148186,SL,105757.80203591526,158.84842069396962,-1.000468164685076,-3,317.69684138793804,BEAR,HIGH,7,0,0.41119197,0.4349093,0.0,0.0,0.23333333333333334,0.7333333333333333,4.08749486410381,-0.0906991011128131
AUDJPY=X,SHORT,2024-08-05 22:00:00+00:00,2024-08-06 00:00:00+00:00,94.2229995727539,95.39482062203544,135.3812644358026,-158.7103059764408,SL,105599.09172993882,158.6426153442229,-1.000426686310428,-4,317.2852306884447,BEAR,HIGH,22,0,0.37638912,0.43283325,0.0,0.0,0.3,0.8666666666666667,3.413691785076266,-0.08571068355099098
NG=F,SHORT,2024-08-06 00:00:00+00:00,2024-08-06 13:00:00+00:00,1.9709999561309814,2.0144999580723897,3644.0756373464683,-160.33933511788308,SL,105438.75239482094,158.51729729920984,-1.0114942523605739,-5,317.0345945984211,RANGE,HIGH,0,1,0.3237714,0.45715502,0.0,0.0,1.0,0.9333333333333333,0.08276525994505403,-0.11015799886829203
ETH-USD,LONG,2024-08-06 14:00:00+00:00,2024-08-06 22:00:00+00:00,2523.321044921875,2466.098650251116,2.763920131309209,-158.1595105522974,SL,105280.59288426864,158.15812859223175,-1.0000087378377447,-6,316.3162571844628,RANGE,HIGH,14,1,0.487545,0.41560453,0.0,0.0,1.0,1.0,0.6908984594786239,-0.27287324074655783
NQ=F,SHORT,2024-08-06 23:00:00+00:00,2024-08-07 01:00:00+00:00,18055.75,18281.098214285714,0.7007860693592113,-157.9212397194373,SL,105122.6716445492,157.9208893264026,-1.0000022187883832,-7,315.84177865280594,RANGE,HIGH,23,1,0.39142448,0.45662886,0.0,0.0,0.2,0.8666666666666667,0.2906294564415794,-0.08306883680775967
ETH-USD,LONG,2024-08-07 01:00:00+00:00,2024-08-07 14:00:00+00:00,2501.11328125,2437.753740583147,2.4885741240631725,-157.67615770312023,SL,104964.99548684609,157.6749134160582,-1.0000078914713513,-8,315.34982683211575,RANGE,HIGH,1,2,0.44294026,0.41301894,0.0,0.0,0.1,1.0,0.0307672032711484,-0.2629037672883292
ETH-USD,LONG,2024-08-07 15:00:00+00:00,2024-08-07 17:00:00+00:00,2411.643310546875,2363.6067940848216,6.555325191186365,-314.898264123133,SL,104650.09722272296,314.89498646053744,-1.0000104087481112,-9,314.8949864605383,RANGE,NORMAL,15,2,0.49024698,0.413595,0.0,0.0,0.03333333333333333,1.0,-0.32129803665151,-0.2892712168718753
ETH-USD,SHORT,2024-08-07 17:00:00+00:00,2024-08-08 01:00:00+00:00,2370.576416015625,2420.4622192382812,6.296127267189277,-314.09051397943836,SL,104336.00670874353,314.08736591580475,-1.0000100228916384,-10,314.08736591580475,BEAR,NORMAL,17,2,0.43755832,0.47551867,0.0,0.0,0.03333333333333333,1.0,-0.29074807188526214,-0.30137392868228297
BTC-USD,SHORT,2024-08-08 01:00:00+00:00,2024-08-08 12:00:00+00:00,56904.92578125,57953.1767578125,0.14911056280506896,-156.30536763147893,SL,104179.70134111206,156.30529307619753,-1.0000004769850075,-11,312.61058615239506,RANGE,HIGH,1,3,0.42811835,0.43172088,0.0,0.0,0.8,0.9666666666666667,0.04938221945256758,-0.18473633990256677
NG=F,SHORT,2024-08-08 12:00:00+00:00,2024-08-08 13:00:00+00:00,2.0820000171661377,2.0427857637405396,15939.918207091332,617.1020330526399,TP,104796.8033741647,312.53599607809275,1.9744990682559516,1,312.53599607809275,RANGE,NORMAL,12,3,0.44977582,0.48133892,0.0,0.0,0.9333333333333333,0.9333333333333333,-0.627932282948629,-0.029370612736865254
